Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L03,*TL,17731,34267,17731,1363.9166,13198,4532,0,0,34267,0.341,1.0,0.341,0.5086,0.7444,0.2538,0.3785,0.9231,0.3148,0.4695,97.5312,0.1997,1.6475,0.6542,0.8003,693462.33,866469.33,599316.33,1.0,1.0
sVa_BigO_L03,HPE,5926,11407,5926,572.0,3748,2178,0,0,11407,0.3419,1.0,0.3419,0.5096,0.6325,0.2162,0.3222,0.9035,0.3089,0.4604,46.8827,0.0613,2.6283,0.7005,0.9387,522476.33,492307.0,294938.67,0.7534,0.5682
sVa_BigO_L03,FRE,5879,11453,5879,696.5833,3889,1990,0,0,11453,0.3392,1.0,0.3392,0.5066,0.6615,0.2244,0.3351,0.8815,0.299,0.4465,12.3236,0.5256,0.1435,0.6004,0.4744,106892.0,225340.33,180100.33,0.1541,0.2601
sVa_BigO_L03,CDE,5926,11407,5926,95.3333,5561,364,0,0,11407,0.3419,1.0,0.3419,0.5096,0.9386,0.3209,0.4783,0.9839,0.3364,0.5014,38.3249,0.5693,0.2798,0.5825,0.4307,64094.0,148822.0,124277.33,0.0924,0.1718
