Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L07,*TL,114813,6511,106042,5373.527700000001,73139,32903,8771,1331,5180,0.9463,0.9876,0.9534,0.9702,0.6812,0.6576,0.6692,0.9376,0.9051,0.9211,66.4804,0.0672,0.2572,0.8817,0.9328,1104024.99,1183560.33,280100.67,1.0,1.0
sVa_BigO_L07,HPE,16968,364,16968,767.1667,13808,3160,0,0,364,0.979,1.0,0.979,0.9894,0.8138,0.7967,0.8052,0.9548,0.9347,0.9446,10.7479,0.0001,0.1712,0.9722,0.9999,492244.0,492307.0,27381.0,0.4459,0.416
sVa_BigO_L07,FRE,16730,602,16730,437.0,14983,1747,0,0,602,0.9653,1.0,0.9653,0.9823,0.8956,0.8645,0.8798,0.9739,0.9401,0.9567,3.1815,0.0157,0.0853,0.9407,0.9843,228872.33,225340.33,26711.33,0.2073,0.1904
sVa_BigO_L07,CDE,16968,364,16968,20.8333,16887,81,0,0,364,0.979,1.0,0.979,0.9894,0.9952,0.9743,0.9846,0.9988,0.9778,0.9882,36.4116,0.4047,0.0246,0.7868,0.5953,88598.33,148822.0,63449.0,0.0803,0.1257
sVa_BigO_L07,UTE,16968,364,16968,0.0,6259,10709,0,0,364,0.979,1.0,0.979,0.9894,0.3689,0.3611,0.365,1.0,0.979,0.9894,3.9399,1.0877,3.0891,0.4459,-0.0877,101812.0,48768.33,54049.0,0.0922,0.0412
sVa_BigO_L07,GRE,16968,364,16968,8.1111,16944,24,0,0,364,0.979,1.0,0.979,0.9894,0.9986,0.9776,0.988,0.9995,0.9785,0.9889,0.7713,0.0199,0.0017,0.9885,0.9801,84978.67,86700.67,1992.67,0.077,0.0733
sVa_BigO_L07,TVE,16968,364,16968,4088.5833,65,16903,0,0,364,0.979,1.0,0.979,0.9894,0.0038,0.0038,0.0038,0.759,0.7431,0.751,5.9382,0.5711,0.5473,0.7053,0.4289,49282.33,114897.33,67731.67,0.0446,0.0971
sVa_BigO_L07,FGE,13243,4089,4472,51.8333,4193,279,8771,1331,2758,0.7641,0.7706,0.6185,0.6862,0.7226,0.5799,0.6434,0.7617,0.6114,0.6783,5.49,0.1272,0.096,0.7094,0.8728,58237.33,66724.67,38786.0,0.0528,0.0564
