Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L09,*TL,141582,14407,128392,4650.7223,96509,31881,13190,832,13575,0.9076,0.9936,0.9044,0.9469,0.7468,0.6798,0.7117,0.9576,0.8716,0.9126,52.513,0.0283,0.2454,0.916,0.9717,1288070.0,1325629.0,222807.67,1.0,1.0
sVa_BigO_L09,HPE,17264,68,17264,464.5,15320,1944,0,0,68,0.9961,1.0,0.9961,0.998,0.8874,0.8839,0.8856,0.9731,0.9693,0.9712,9.9715,0.0044,0.1185,0.9775,0.9956,494473.33,492307.0,22137.67,0.3839,0.3714
sVa_BigO_L09,FRE,17264,68,17264,137.6667,16716,548,0,0,68,0.9961,1.0,0.9961,0.998,0.9683,0.9645,0.9664,0.992,0.9881,0.99,1.6882,0.0144,0.0559,0.9706,0.9856,228576.0,225340.33,13271.0,0.1775,0.17
sVa_BigO_L09,CDE,17264,68,17264,19.3333,17188,76,0,0,68,0.9961,1.0,0.9961,0.998,0.9956,0.9917,0.9936,0.9989,0.995,0.9969,22.9979,0.1645,0.0134,0.9091,0.8355,124337.33,148822.0,27054.0,0.0965,0.1123
sVa_BigO_L09,UTE,17264,68,17264,0.0,6280,10984,0,0,68,0.9961,1.0,0.9961,0.998,0.3638,0.3623,0.363,1.0,0.9961,0.998,3.9824,1.1241,3.1684,0.4359,-0.1241,103588.0,48768.33,55023.0,0.0804,0.0368
sVa_BigO_L09,GRE,17264,68,17264,5.8889,17247,17,0,0,68,0.9961,1.0,0.9961,0.998,0.999,0.9951,0.997,0.9997,0.9957,0.9977,0.3861,0.0033,0.0012,0.9973,0.9967,86412.0,86700.67,466.0,0.0671,0.0654
sVa_BigO_L09,TVE,17264,68,17264,3834.1667,289,16975,0,0,68,0.9961,1.0,0.9961,0.998,0.0167,0.0167,0.0167,0.7779,0.7749,0.7764,4.8846,0.4897,0.5388,0.7379,0.5103,58633.33,114897.33,60230.0,0.0455,0.0867
sVa_BigO_L09,FGE,14635,2697,5327,39.9167,5093,233,9308,793,1904,0.8444,0.8704,0.7367,0.798,0.8323,0.7044,0.763,0.8639,0.7312,0.792,4.6808,0.102,0.0797,0.8283,0.898,59916.67,66724.67,22910.0,0.0465,0.0503
sVa_BigO_L09,EQE,17264,68,17264,0.0,16368,896,0,0,68,0.9961,1.0,0.9961,0.998,0.9481,0.9444,0.9462,1.0,0.9961,0.998,0.3505,0.0067,0.0192,0.9903,0.9933,69058.67,68599.67,1333.0,0.0536,0.0517
sVa_BigO_L09,BME,6099,11234,2217,149.25,2008,208,3882,39,11195,0.3519,0.9827,0.1653,0.283,0.8905,0.1497,0.2563,0.9166,0.1542,0.264,3.571,0.1415,0.2079,0.8613,0.8585,63074.67,73469.0,20383.0,0.049,0.0554
