Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L10,*TL,159157,14161,146316,5175.2223,98086,48230,12841,1180,12981,0.9183,0.992,0.9185,0.9538,0.665,0.6157,0.6394,0.9569,0.886,0.9201,80.443,0.0235,0.4254,0.8789,0.9765,1337941.0,1370096.67,331908.33,1.0,1.0
sVa_Bigz_L10,HPE,17322,10,17322,561.25,14999,2323,0,0,10,0.9994,1.0,0.9994,0.9997,0.8659,0.8654,0.8656,0.9676,0.967,0.9673,17.5263,0.0559,0.5031,0.9529,0.9441,519841.67,492307.0,46354.0,0.3885,0.3593
sVa_Bigz_L10,FRE,17322,10,17322,108.25,16904,418,0,0,10,0.9994,1.0,0.9994,0.9997,0.9759,0.9753,0.9756,0.9938,0.9932,0.9935,1.5491,0.0154,0.0535,0.9735,0.9846,228820.33,225340.33,11964.67,0.171,0.1645
sVa_Bigz_L10,CDE,17322,10,17322,94.9167,17053,269,0,0,10,0.9994,1.0,0.9994,0.9997,0.9845,0.9839,0.9842,0.9945,0.9939,0.9942,39.5943,0.5011,0.0234,0.7455,0.4989,74250.67,148822.0,75742.67,0.0555,0.1086
sVa_Bigz_L10,UTE,17322,10,17322,0.0,6284,11038,0,0,10,0.9994,1.0,0.9994,0.9997,0.3628,0.3626,0.3627,1.0,0.9994,0.9997,3.9909,1.1312,3.1841,0.4339,-0.1312,103936.0,48768.33,55218.33,0.0777,0.0356
sVa_Bigz_L10,GRE,17322,10,17322,7.5556,17300,22,0,0,10,0.9994,1.0,0.9994,0.9997,0.9987,0.9982,0.9984,0.9996,0.999,0.9993,0.2821,0.0004,0.0016,0.9988,0.9996,86737.0,86700.67,211.0,0.0648,0.0633
sVa_Bigz_L10,TVE,17322,10,17322,3584.0,409,16913,0,0,10,0.9994,1.0,0.9994,0.9997,0.0236,0.0236,0.0236,0.7931,0.7926,0.7928,5.0215,0.4454,0.5365,0.7378,0.5546,63724.33,114897.33,60254.33,0.0476,0.0839
sVa_Bigz_L10,FGE,14458,2873,5483,62.0,5154,329,8975,1126,1747,0.8342,0.8296,0.7584,0.7924,0.7798,0.7129,0.7449,0.8202,0.7498,0.7834,4.9932,0.0066,0.1154,0.793,0.9934,67162.33,66724.67,27625.0,0.0502,0.0487
sVa_Bigz_L10,EQE,17322,10,17322,0.0,16422,900,0,0,10,0.9994,1.0,0.9994,0.9997,0.948,0.9475,0.9477,1.0,0.9994,0.9997,0.2665,0.0101,0.0192,0.9919,0.9899,69290.67,68599.67,1109.0,0.0518,0.0501
sVa_Bigz_L10,BME,6123,11208,2257,197.3333,1960,297,3866,54,11154,0.3533,0.9766,0.1683,0.2871,0.8481,0.1461,0.2493,0.8912,0.1536,0.262,4.3262,0.1184,0.3343,0.8352,0.8816,64772.67,73469.0,24208.33,0.0484,0.0536
sVa_Bigz_L10,OFE,17322,10,17322,559.9167,1601,15721,0,0,10,0.9994,1.0,0.9994,0.9997,0.0924,0.0924,0.0924,0.9677,0.9671,0.9674,2.8929,0.3359,0.814,0.6714,0.6641,59405.33,44467.67,29221.0,0.0444,0.0325
