Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L05,*TL,81649,5015,81649,2094.6110999999996,63118,18528,0,0,5015,0.9421,1.0,0.9421,0.9702,0.7731,0.7283,0.75,0.9743,0.918,0.9453,53.8166,0.0417,0.3821,0.9107,0.9583,960141.33,1001938.33,179005.67,1.0,1.0
sVa_BigO_L05,HPE,16330,1003,16330,2068.3333,7958,8371,0,0,1003,0.9421,1.0,0.9421,0.9702,0.4874,0.4592,0.4729,0.8733,0.8228,0.8473,9.8778,0.0263,0.3,0.9615,0.9737,479376.33,492307.0,37942.67,0.4993,0.4914
sVa_BigO_L05,FRE,16329,1003,16329,6.4167,16309,20,0,0,1003,0.9421,1.0,0.9421,0.9702,0.9988,0.941,0.969,0.9996,0.9418,0.9698,3.2269,0.053,0.039,0.9524,0.947,213403.0,225340.33,21434.0,0.2223,0.2249
sVa_BigO_L05,CDE,16330,1003,16330,10.0833,16290,39,0,0,1003,0.9421,1.0,0.9421,0.9702,0.9976,0.9399,0.9679,0.9994,0.9416,0.9696,35.6487,0.4117,0.0078,0.7886,0.5883,87554.67,148822.0,62924.67,0.0912,0.1485
sVa_BigO_L05,UTE,16330,1003,16330,0.0,6261,10069,0,0,1003,0.9421,1.0,0.9421,0.9702,0.3834,0.3612,0.372,1.0,0.9421,0.9702,3.8254,1.0091,2.9045,0.4722,-0.0091,97980.0,48768.33,51481.0,0.102,0.0487
sVa_BigO_L05,GRE,16330,1003,16330,9.7778,16300,29,0,0,1003,0.9421,1.0,0.9421,0.9702,0.9982,0.9405,0.9685,0.9994,0.9416,0.9696,1.2378,0.0562,0.0022,0.9699,0.9438,81827.33,86700.67,5223.33,0.0852,0.0865
