Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L07,*TL,115147,6179,106388,5387.5833999999995,73382,33003,8759,1343,4836,0.9491,0.9875,0.9565,0.9718,0.6812,0.6598,0.6703,0.9375,0.9081,0.9226,60.0771,0.0516,0.2536,0.8899,0.9484,1122542.0,1183560.33,260563.67,1.0,1.0
sVa_BigO_L07,HPE,17022,310,17022,766.25,13865,3156,0,0,310,0.9821,1.0,0.9821,0.991,0.8146,0.8,0.8072,0.955,0.9379,0.9464,10.1224,0.0024,0.1519,0.9739,0.9976,491143.33,492307.0,25698.33,0.4375,0.416
sVa_BigO_L07,FRE,16784,549,16784,437.6667,15033,1751,0,0,549,0.9683,1.0,0.9683,0.9839,0.8957,0.8673,0.8813,0.9739,0.9431,0.9583,3.092,0.0188,0.0854,0.9422,0.9812,229569.0,225340.33,26038.67,0.2045,0.1904
sVa_BigO_L07,CDE,17022,310,17022,20.5833,16941,81,0,0,310,0.9821,1.0,0.9821,0.991,0.9952,0.9774,0.9862,0.9988,0.9809,0.9898,30.7649,0.2864,0.0249,0.8439,0.7136,106192.0,148822.0,46468.67,0.0946,0.1257
sVa_BigO_L07,UTE,17022,310,17022,0.0,6272,10749,0,0,310,0.9821,1.0,0.9821,0.991,0.3685,0.3619,0.3652,1.0,0.9821,0.991,3.9436,1.0943,3.1008,0.445,-0.0943,102134.0,48768.33,54133.67,0.091,0.0412
sVa_BigO_L07,GRE,17022,310,17022,7.6667,16999,23,0,0,310,0.9821,1.0,0.9821,0.991,0.9986,0.9808,0.9896,0.9995,0.9817,0.9905,0.7167,0.0169,0.0016,0.9901,0.9831,85237.67,86700.67,1715.0,0.0759,0.0733
sVa_BigO_L07,TVE,17022,310,17022,4101.25,65,16957,0,0,310,0.9821,1.0,0.9821,0.991,0.0038,0.0038,0.0038,0.7591,0.7455,0.7522,5.9265,0.5682,0.5503,0.7056,0.4318,49610.67,114897.33,67647.33,0.0442,0.0971
sVa_BigO_L07,FGE,13253,4080,4494,54.1667,4207,286,8759,1343,2737,0.7646,0.7699,0.6215,0.6878,0.7209,0.5819,0.644,0.7606,0.614,0.6795,5.511,0.1209,0.1007,0.7088,0.8791,58655.33,66724.67,38862.0,0.0523,0.0564
