Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L08,*TL,134787,3876,125850,5604.1667,91217,34629,8937,1165,2711,0.972,0.9908,0.9789,0.9848,0.7182,0.7095,0.7138,0.9467,0.9353,0.941,80.9572,0.0351,0.3601,0.872,0.9649,1208172.34,1252160.0,320451.67,1.0,1.0
sVa_Bigz_L08,HPE,17266,67,17266,875.75,13702,3564,0,0,67,0.9961,1.0,0.9961,0.998,0.7936,0.7905,0.792,0.9493,0.9456,0.9474,19.9994,0.0608,0.682,0.9395,0.9392,522249.67,492307.0,59572.0,0.4323,0.3932
sVa_Bigz_L08,FRE,17264,69,17264,422.9167,15793,1470,0,0,69,0.996,1.0,0.996,0.998,0.9148,0.9112,0.913,0.9755,0.9716,0.9735,3.8321,0.0616,0.1016,0.9479,0.9384,239217.67,225340.33,23467.33,0.198,0.18
sVa_Bigz_L08,CDE,17266,67,17266,100.0,17019,246,0,0,67,0.9961,1.0,0.9961,0.998,0.9858,0.9819,0.9838,0.9942,0.9904,0.9923,41.3411,0.5074,0.0341,0.7296,0.4926,73317.0,148822.0,80485.67,0.0607,0.1189
sVa_Bigz_L08,UTE,17266,67,17266,0.0,6268,10998,0,0,67,0.9961,1.0,0.9961,0.998,0.363,0.3616,0.3623,1.0,0.9961,0.998,3.9881,1.1242,3.1725,0.4345,-0.1242,103596.0,48768.33,55155.0,0.0857,0.0389
sVa_Bigz_L08,GRE,17266,67,17266,7.0,17245,21,0,0,67,0.9961,1.0,0.9961,0.998,0.9988,0.9949,0.9968,0.9996,0.9957,0.9976,0.3957,0.003,0.0015,0.9972,0.997,86442.0,86700.67,482.67,0.0715,0.0692
sVa_Bigz_L08,TVE,17266,67,17266,4144.6667,121,17144,0,0,67,0.9961,1.0,0.9961,0.998,0.007,0.007,0.007,0.76,0.757,0.7585,6.0231,0.5485,0.5679,0.7029,0.4515,51880.0,114897.33,68268.0,0.0429,0.0918
sVa_Bigz_L08,FGE,13927,3405,4990,53.8333,4699,291,8937,1165,2240,0.8035,0.8107,0.6902,0.7456,0.7634,0.6499,0.7021,0.802,0.6827,0.7376,5.0289,0.0647,0.1038,0.7625,0.9353,62406.0,66724.67,31694.0,0.0517,0.0533
sVa_Bigz_L08,EQE,17266,67,17266,0.0,16370,895,0,0,67,0.9961,1.0,0.9961,0.998,0.9482,0.9445,0.9463,1.0,0.9961,0.998,0.3488,0.0068,0.0192,0.9903,0.9932,69064.0,68599.67,1327.0,0.0572,0.0548
