Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L10,*TL,158615,14712,145536,5620.777700000001,96369,49161,13079,943,13769,0.9151,0.9936,0.9136,0.9519,0.6579,0.605,0.6303,0.9552,0.8783,0.9151,87.5869,0.025,0.3905,0.8674,0.975,1335800.66,1370096.67,363298.01,1.0,1.0
sVa_Bigz_L10,HPE,17310,23,17310,619.8333,14764,2545,0,0,23,0.9987,1.0,0.9987,0.9993,0.853,0.8518,0.8524,0.9642,0.9629,0.9635,21.4495,0.0827,0.7596,0.935,0.9173,533043.33,492307.0,63983.0,0.399,0.3593
sVa_Bigz_L10,FRE,17295,37,17295,273.5,16305,990,0,0,37,0.9979,1.0,0.9979,0.9989,0.9428,0.9407,0.9417,0.9842,0.9821,0.9831,2.847,0.0381,0.0777,0.9607,0.9619,233927.0,225340.33,17704.67,0.1751,0.1645
sVa_Bigz_L10,CDE,17310,23,17310,114.9167,17035,274,0,0,23,0.9987,1.0,0.9987,0.9993,0.9842,0.9829,0.9835,0.9934,0.992,0.9927,41.2332,0.5305,0.0196,0.7333,0.4695,69873.0,148822.0,79381.67,0.0523,0.1086
sVa_Bigz_L10,UTE,17310,23,17310,0.0,6282,11028,0,0,23,0.9987,1.0,0.9987,0.9993,0.3629,0.3624,0.3626,1.0,0.9987,0.9993,3.9897,1.1297,3.1811,0.4342,-0.1297,103860.0,48768.33,55191.0,0.0778,0.0356
sVa_Bigz_L10,GRE,17310,23,17310,4.4444,17296,13,0,0,23,0.9987,1.0,0.9987,0.9993,0.9992,0.9979,0.9985,0.9997,0.9984,0.999,0.2673,0.0011,0.0008,0.9988,0.9989,86608.33,86700.67,209.0,0.0648,0.0633
sVa_Bigz_L10,TVE,17310,23,17310,3906.75,172,17137,0,0,23,0.9987,1.0,0.9987,0.9993,0.0099,0.0099,0.0099,0.7743,0.7733,0.7738,5.023,0.4824,0.5578,0.7309,0.5176,59472.0,114897.33,61841.33,0.0445,0.0839
sVa_Bigz_L10,FGE,14014,3318,4796,57.3333,4499,297,9218,883,2435,0.8086,0.8445,0.6633,0.743,0.7922,0.6222,0.697,0.8344,0.6553,0.7341,5.2702,0.124,0.1009,0.763,0.876,58449.67,66724.67,31633.67,0.0438,0.0487
sVa_Bigz_L10,EQE,17310,23,17310,0.0,16411,899,0,0,23,0.9987,1.0,0.9987,0.9993,0.9481,0.9468,0.9474,1.0,0.9987,0.9993,0.2868,0.0093,0.0192,0.9916,0.9907,69240.0,68599.67,1157.67,0.0518,0.0501
sVa_Bigz_L10,BME,6136,11196,2275,178.75,1953,321,3861,60,11136,0.354,0.9743,0.1696,0.2889,0.8368,0.1456,0.248,0.8978,0.1563,0.2662,4.383,0.1196,0.3343,0.8336,0.8804,64685.33,73469.0,24454.33,0.0484,0.0536
sVa_Bigz_L10,OFE,17310,23,17310,465.25,1652,15657,0,0,23,0.9987,1.0,0.9987,0.9993,0.0954,0.0953,0.0953,0.9731,0.9718,0.9724,2.8372,0.2738,0.7631,0.6881,0.7262,56642.0,44467.67,27741.67,0.0424,0.0325
