Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L07,*TL,96829,24494,90254,4641.9722,61555,28697,6575,3526,20968,0.7981,0.9624,0.8115,0.8805,0.6564,0.5535,0.6006,0.9129,0.7697,0.8352,63.5625,0.0883,0.7168,0.8449,0.9117,1079014.33,1183560.33,367084.67,1.0,1.0
sVa_BigO_L07,HPE,14543,2789,14543,746.9167,11491,3052,0,0,2789,0.8391,1.0,0.8391,0.9125,0.7901,0.663,0.721,0.9486,0.796,0.8656,11.0835,0.0296,0.1572,0.9628,0.9704,477712.0,492307.0,36673.0,0.4427,0.416
sVa_BigO_L07,FRE,14160,3172,14160,339.8333,12829,1330,0,0,3172,0.817,1.0,0.817,0.8993,0.9061,0.7402,0.8148,0.976,0.7974,0.8777,5.918,0.141,0.0722,0.8744,0.859,193568.0,225340.33,56615.67,0.1794,0.1904
sVa_BigO_L07,CDE,14543,2789,14543,20.8333,14460,83,0,0,2789,0.8391,1.0,0.8391,0.9125,0.9943,0.8343,0.9073,0.9986,0.8379,0.9112,25.3078,0.2584,0.0289,0.8553,0.7416,110367.33,148822.0,43060.67,0.1023,0.1257
sVa_BigO_L07,UTE,14543,2789,14543,0.0,5423,9120,0,0,2789,0.8391,1.0,0.8391,0.9125,0.3729,0.3129,0.3403,1.0,0.8391,0.9125,3.8806,0.7893,2.6307,0.4596,0.2107,87260.0,48768.33,52710.33,0.0809,0.0412
sVa_BigO_L07,GRE,14543,2789,14543,26.2222,14464,78,0,0,2789,0.8391,1.0,0.8391,0.9125,0.9946,0.8346,0.9076,0.9982,0.8376,0.9109,2.0607,0.1553,0.0061,0.9164,0.8447,73232.33,86700.67,14499.67,0.0679,0.0733
sVa_BigO_L07,TVE,14543,2789,14543,3271.4167,465,14078,0,0,2789,0.8391,1.0,0.8391,0.9125,0.032,0.0268,0.0292,0.7751,0.6503,0.7072,6.6828,0.4312,0.5936,0.6457,0.5688,65357.67,114897.33,81407.0,0.0606,0.0971
sVa_BigO_L07,FGE,9954,7377,3379,236.75,2423,956,6575,3526,3851,0.5743,0.4894,0.4674,0.4781,0.3509,0.3351,0.3428,0.4551,0.4346,0.4446,8.6291,0.0718,0.2933,0.3846,0.9282,71517.0,66724.67,82118.33,0.0663,0.0564
