Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L07,*TL,116864,4465,109482,4598.3334,77987,31493,7382,2719,1746,0.9632,0.9758,0.9843,0.98,0.6951,0.7012,0.6981,0.9348,0.943,0.9389,78.7042,0.0242,0.355,0.8719,0.9758,1154902.66,1183560.33,303255.67,1.0,1.0
sVa_Bigz_L07,HPE,17322,11,17322,533.5,15120,2202,0,0,11,0.9994,1.0,0.9994,0.9997,0.8729,0.8723,0.8726,0.9692,0.9686,0.9689,20.8531,0.0829,0.7212,0.9385,0.9171,533109.67,492307.0,60586.0,0.4616,0.416
sVa_Bigz_L07,FRE,17322,11,17322,211.75,16482,840,0,0,11,0.9994,1.0,0.9994,0.9997,0.9515,0.9509,0.9512,0.9878,0.9871,0.9874,1.6849,0.0261,0.0628,0.9687,0.9739,231225.33,225340.33,14095.67,0.2002,0.1904
sVa_Bigz_L07,CDE,17322,11,17322,128.5,16998,323,0,0,11,0.9994,1.0,0.9994,0.9997,0.9814,0.9807,0.981,0.9926,0.992,0.9923,41.3687,0.523,0.0405,0.7273,0.477,70981.33,148822.0,81163.33,0.0615,0.1257
sVa_Bigz_L07,UTE,17322,11,17322,0.0,6284,11037,0,0,11,0.9994,1.0,0.9994,0.9997,0.3628,0.3626,0.3627,1.0,0.9994,0.9997,3.9906,1.1311,3.1838,0.4339,-0.1311,103932.0,48768.33,55211.67,0.09,0.0412
sVa_Bigz_L07,GRE,17322,11,17322,9.6667,17293,29,0,0,11,0.9994,1.0,0.9994,0.9997,0.9983,0.9977,0.998,0.9994,0.9988,0.9991,0.3137,0.0009,0.0021,0.9985,0.9991,86778.0,86700.67,258.67,0.0751,0.0733
sVa_Bigz_L07,TVE,17322,11,17322,3655.1667,578,16744,0,0,11,0.9994,1.0,0.9994,0.9997,0.0334,0.0333,0.0333,0.789,0.7885,0.7887,5.5969,0.4985,0.5206,0.7278,0.5015,57621.0,114897.33,62561.0,0.0499,0.0971
sVa_Bigz_L07,FGE,12932,4399,5550,59.75,5232,318,7382,2719,1680,0.7462,0.6712,0.7676,0.7162,0.6327,0.7237,0.6751,0.664,0.7594,0.7085,4.8963,0.0679,0.12,0.7798,0.9321,71255.33,66724.67,29379.33,0.0617,0.0564
