Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L08,*TL,82131,56526,75037,3899.9444000000003,52833,22203,7094,3008,53518,0.5923,0.9615,0.5837,0.7264,0.677,0.411,0.5115,0.9115,0.5534,0.6887,93.7091,0.2047,1.2712,0.7526,0.7953,995836.66,1252160.0,619467.34,1.0,1.0
sVa_BigO_L08,HPE,10344,6988,10344,505.8333,8304,2040,0,0,6988,0.5968,1.0,0.5968,0.7475,0.8028,0.4791,0.6001,0.9511,0.5676,0.7109,20.8539,0.0639,0.3928,0.9156,0.9361,460871.33,492307.0,83084.33,0.4628,0.3932
sVa_BigO_L08,FRE,10194,7138,10194,268.0833,9287,906,0,0,7138,0.5882,1.0,0.5882,0.7407,0.9111,0.5359,0.6749,0.9737,0.5727,0.7212,8.8674,0.3693,0.0638,0.7643,0.6307,142128.0,225340.33,106237.67,0.1427,0.18
sVa_BigO_L08,CDE,10344,6988,10344,94.6667,9967,377,0,0,6988,0.5968,1.0,0.5968,0.7475,0.9636,0.5751,0.7203,0.9908,0.5914,0.7407,34.1822,0.4465,0.1895,0.6872,0.5535,82366.33,148822.0,93109.0,0.0827,0.1189
sVa_BigO_L08,UTE,10344,6988,10344,0.0,3819,6525,0,0,6988,0.5968,1.0,0.5968,0.7475,0.3692,0.2203,0.2759,1.0,0.5968,0.7475,3.8466,0.2727,1.8822,0.4674,0.7273,62068.0,48768.33,51951.0,0.0623,0.0389
sVa_BigO_L08,GRE,10344,6988,10344,137.4444,9932,412,0,0,6988,0.5968,1.0,0.5968,0.7475,0.9602,0.573,0.7177,0.9867,0.5889,0.7376,3.3569,0.3703,0.0332,0.7817,0.6297,54598.0,86700.67,37852.0,0.0548,0.0692
sVa_BigO_L08,TVE,10344,6988,10344,2550.9167,225,10119,0,0,6988,0.5968,1.0,0.5968,0.7475,0.0218,0.013,0.0163,0.7534,0.4496,0.5631,8.2378,0.4923,0.561,0.5471,0.5077,58334.33,114897.33,104071.67,0.0586,0.0918
sVa_BigO_L08,FGE,9873,7460,2779,343.0,1481,1298,7094,3008,4452,0.5696,0.4802,0.3843,0.4269,0.2559,0.2048,0.2275,0.4209,0.3369,0.3742,11.8416,0.4102,0.4641,0.1391,0.5898,94092.0,66724.67,114888.0,0.0945,0.0533
sVa_BigO_L08,EQE,10344,6988,10344,0.0,9818,526,0,0,6988,0.5968,1.0,0.5968,0.7475,0.9491,0.5665,0.7095,1.0,0.5968,0.7475,2.5227,0.3968,0.0115,0.7939,0.6032,41378.67,68599.67,28273.67,0.0416,0.0548
