Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L04,*TL,66016,3312,66016,2261.9167,46846,19169,0,0,3312,0.9522,1.0,0.9522,0.9755,0.7096,0.6757,0.6922,0.9657,0.9196,0.9421,67.6069,0.0042,0.4301,0.8757,0.9958,911424.33,915237.66,227546.67,1.0,1.0
sVa_Bigz_L04,HPE,16504,828,16504,2136.5,7878,8626,0,0,828,0.9522,1.0,0.9522,0.9755,0.4773,0.4545,0.4656,0.8705,0.829,0.8492,21.1957,0.0577,0.9329,0.9212,0.9423,520703.33,492307.0,77561.67,0.5713,0.5379
sVa_Bigz_L04,FRE,16504,828,16504,52.75,16395,108,0,0,828,0.9522,1.0,0.9522,0.9755,0.9935,0.946,0.9692,0.9968,0.9492,0.9724,3.6503,0.0306,0.0509,0.9514,0.9694,218439.0,225340.33,21884.0,0.2397,0.2462
sVa_Bigz_L04,CDE,16504,828,16504,72.6667,16287,217,0,0,828,0.9522,1.0,0.9522,0.9755,0.9869,0.9397,0.9627,0.9956,0.948,0.9712,38.9154,0.5078,0.0169,0.7441,0.4922,73254.0,148822.0,76174.67,0.0804,0.1626
sVa_Bigz_L04,UTE,16504,828,16504,0.0,6286,10218,0,0,828,0.9522,1.0,0.9522,0.9755,0.3809,0.3627,0.3716,1.0,0.9522,0.9755,3.8455,1.0306,2.9476,0.4676,-0.0306,99028.0,48768.33,51926.33,0.1087,0.0533
