Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L03,*TL,51837,162,51837,779.0,48818,3017,0,0,162,0.9969,1.0,0.9969,0.9984,0.9418,0.9389,0.9403,0.985,0.9819,0.9834,64.6954,0.0414,0.1593,0.9091,0.9586,830630.66,866469.33,157442.0,1.0,1.0
sVa_Bigz_L03,HPE,17279,54,17279,634.5,14647,2631,0,0,54,0.9969,1.0,0.9969,0.9984,0.8477,0.8451,0.8464,0.9633,0.9603,0.9618,22.1043,0.0874,0.7863,0.9316,0.9126,535325.33,492307.0,67375.67,0.6445,0.5682
sVa_Bigz_L03,FRE,17279,54,17279,28.4167,17168,111,0,0,54,0.9969,1.0,0.9969,0.9984,0.9936,0.9905,0.992,0.9984,0.9952,0.9968,1.2478,0.0038,0.0434,0.977,0.9962,226189.33,225340.33,10360.33,0.2723,0.2601
sVa_Bigz_L03,CDE,17279,54,17279,116.0833,17003,275,0,0,54,0.9969,1.0,0.9969,0.9984,0.9841,0.981,0.9825,0.9933,0.9902,0.9917,41.3433,0.5356,0.0169,0.7322,0.4644,69116.0,148822.0,79706.0,0.0832,0.1718
