Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L04,*TL,37128,32201,37128,1525.0833,25762,11365,0,0,32201,0.5355,1.0,0.5355,0.6975,0.6939,0.3716,0.484,0.9589,0.5135,0.6688,82.4168,0.1363,1.3672,0.7581,0.8637,790474.0,915237.66,442728.33,1.0,1.0
sVa_BigO_L04,HPE,9363,7969,9363,756.3333,6335,3028,0,0,7969,0.5402,1.0,0.5402,0.7015,0.6766,0.3655,0.4746,0.9192,0.4966,0.6448,32.7807,0.058,1.4906,0.8367,0.942,520846.67,492307.0,160751.0,0.6589,0.5379
sVa_BigO_L04,FRE,9039,8294,9039,726.5833,6652,2387,0,0,8294,0.5215,1.0,0.5215,0.6855,0.7359,0.3838,0.5045,0.9196,0.4796,0.6304,10.4815,0.3593,0.1386,0.6951,0.6407,144365.0,225340.33,137404.0,0.1826,0.2462
sVa_BigO_L04,CDE,9363,7969,9363,42.1667,9198,164,0,0,7969,0.5402,1.0,0.5402,0.7015,0.9825,0.5307,0.6892,0.9955,0.5378,0.6983,35.3762,0.5358,0.0962,0.6838,0.4642,69082.33,148822.0,94124.33,0.0874,0.1626
sVa_BigO_L04,UTE,9363,7969,9363,0.0,3577,5786,0,0,7969,0.5402,1.0,0.5402,0.7015,0.382,0.2064,0.268,1.0,0.5402,0.7015,3.7784,0.152,1.669,0.4828,0.848,56180.0,48768.33,50449.0,0.0711,0.0533
