Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L10,*TL,159066,14255,146538,5652.4722,98152,48384,12528,1495,12760,0.9178,0.9899,0.9199,0.9536,0.6631,0.6162,0.6388,0.9517,0.8844,0.9168,74.8219,0.0281,0.5993,0.8827,0.9719,1331599.66,1370096.67,321433.66,1.0,1.0
sVa_Bigz_L10,HPE,17327,5,17327,570.5,14953,2374,0,0,5,0.9997,1.0,0.9997,0.9998,0.863,0.8627,0.8628,0.9671,0.9668,0.9669,9.8853,0.0097,0.1503,0.977,0.9903,497095.0,492307.0,22599.33,0.3733,0.3593
sVa_Bigz_L10,FRE,17327,5,17327,233.0,16404,923,0,0,5,0.9997,1.0,0.9997,0.9998,0.9467,0.9465,0.9466,0.9866,0.9863,0.9864,1.881,0.0285,0.067,0.9672,0.9715,231757.33,225340.33,14769.0,0.174,0.1645
sVa_Bigz_L10,CDE,17327,5,17327,126.1667,17018,309,0,0,5,0.9997,1.0,0.9997,0.9998,0.9822,0.9819,0.982,0.9927,0.9924,0.9925,41.4257,0.526,0.0348,0.7289,0.474,70544.67,148822.0,80694.67,0.053,0.1086
sVa_Bigz_L10,UTE,17327,5,17327,0.0,6284,11043,0,0,5,0.9997,1.0,0.9997,0.9998,0.3627,0.3626,0.3626,1.0,0.9997,0.9998,3.9917,1.1318,3.1854,0.4337,-0.1318,103964.0,48768.33,55237.0,0.0781,0.0356
sVa_Bigz_L10,GRE,17327,5,17327,4.8889,17312,14,0,0,5,0.9997,1.0,0.9997,0.9998,0.9992,0.9989,0.999,0.9997,0.9994,0.9995,0.2241,0.0,0.001,0.9992,1.0,86704.33,86700.67,131.67,0.0651,0.0633
sVa_Bigz_L10,TVE,17327,5,17327,3333.75,1046,16281,0,0,5,0.9997,1.0,0.9997,0.9998,0.0604,0.0604,0.0604,0.8076,0.8074,0.8075,4.9091,0.4215,0.5058,0.75,0.5785,66470.67,114897.33,57443.33,0.0499,0.0839
sVa_Bigz_L10,FGE,14317,3016,5662,74.3333,5275,386,8655,1447,1569,0.826,0.7965,0.783,0.7897,0.7421,0.7296,0.7358,0.786,0.7727,0.7793,5.1129,0.0843,0.1421,0.7753,0.9157,72350.33,66724.67,29987.0,0.0543,0.0487
sVa_Bigz_L10,EQE,17327,5,17327,0.0,16427,900,0,0,5,0.9997,1.0,0.9997,0.9998,0.9481,0.9478,0.9479,1.0,0.9997,0.9998,0.2586,0.0103,0.0192,0.9921,0.9897,69309.33,68599.67,1090.33,0.052,0.0501
sVa_Bigz_L10,BME,6133,11199,2260,185.3333,2005,255,3873,48,11151,0.3539,0.9792,0.1685,0.2875,0.8687,0.1495,0.2551,0.8989,0.1547,0.264,3.633,0.1211,0.2429,0.8575,0.8789,64575.33,73469.0,20938.33,0.0485,0.0536
sVa_Bigz_L10,OFE,17327,5,17327,1124.5,1428,15899,0,0,5,0.9997,1.0,0.9997,0.9998,0.0824,0.0824,0.0824,0.9351,0.9348,0.9349,3.5005,0.5478,1.135,0.5666,0.4522,68828.67,44467.67,38543.0,0.0517,0.0325
