Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L05,*TL,82070,4590,82070,2285.8610999999996,62983,19087,0,0,4590,0.947,1.0,0.947,0.9728,0.7674,0.7268,0.7465,0.9721,0.9207,0.9457,68.6425,0.0281,0.4276,0.8861,0.9719,973815.0,1001938.33,228326.0,1.0,1.0
sVa_Bigz_L05,HPE,16414,918,16414,2114.6667,7882,8532,0,0,918,0.947,1.0,0.947,0.9728,0.4802,0.4548,0.4672,0.8712,0.825,0.8475,18.0025,0.025,0.72,0.9354,0.975,504598.33,492307.0,63598.0,0.5182,0.4914
sVa_Bigz_L05,FRE,16414,918,16414,92.3333,16225,189,0,0,918,0.947,1.0,0.947,0.9728,0.9885,0.9361,0.9616,0.9944,0.9417,0.9673,4.2582,0.0257,0.0614,0.9437,0.9743,219539.33,225340.33,25359.67,0.2254,0.2249
sVa_Bigz_L05,CDE,16414,918,16414,75.0833,16233,181,0,0,918,0.947,1.0,0.947,0.9728,0.989,0.9366,0.9621,0.9954,0.9427,0.9683,41.3662,0.5359,0.0167,0.7222,0.4641,69064.67,148822.0,82671.33,0.0709,0.1485
sVa_Bigz_L05,UTE,16414,918,16414,0.0,6240,10174,0,0,918,0.947,1.0,0.947,0.9728,0.3802,0.36,0.3698,1.0,0.947,0.9728,3.8498,1.0195,2.9348,0.4666,-0.0195,98488.0,48768.33,52023.0,0.1011,0.0487
sVa_Bigz_L05,GRE,16414,918,16414,3.7778,16403,11,0,0,918,0.947,1.0,0.947,0.9728,0.9993,0.9464,0.9721,0.9998,0.9468,0.9726,1.1658,0.0528,0.0007,0.973,0.9472,82124.67,86700.67,4674.0,0.0843,0.0865
