Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L09,*TL,141999,13994,129622,4209.2777,96552,33066,12377,1644,12350,0.9103,0.9875,0.913,0.9488,0.7356,0.6801,0.7068,0.9554,0.8834,0.918,72.1425,0.0327,0.3855,0.893,0.9673,1282282.67,1325629.0,283579.01,1.0,1.0
sVa_Bigz_L09,HPE,17328,5,17328,574.0,14943,2385,0,0,5,0.9997,1.0,0.9997,0.9998,0.8624,0.8621,0.8622,0.9669,0.9666,0.9667,10.8101,0.0173,0.2026,0.9747,0.9827,500816.33,492307.0,24930.67,0.3906,0.3714
sVa_Bigz_L09,FRE,17328,5,17328,319.0,16064,1264,0,0,5,0.9997,1.0,0.9997,0.9998,0.9271,0.9268,0.9269,0.9816,0.9813,0.9814,2.1008,0.0382,0.0769,0.9627,0.9618,233948.67,225340.33,16829.0,0.1824,0.17
sVa_Bigz_L09,CDE,17328,5,17328,108.3333,17049,279,0,0,5,0.9997,1.0,0.9997,0.9998,0.9839,0.9836,0.9837,0.9937,0.9935,0.9936,40.4927,0.5128,0.0257,0.7389,0.4872,72498.67,148822.0,77710.0,0.0565,0.1123
sVa_Bigz_L09,UTE,17328,5,17328,0.0,6285,11042,0,0,5,0.9997,1.0,0.9997,0.9998,0.3627,0.3626,0.3626,1.0,0.9997,0.9998,3.9912,1.1319,3.1853,0.4338,-0.1319,103968.0,48768.33,55226.33,0.0811,0.0368
sVa_Bigz_L09,GRE,17328,5,17328,11.1111,17294,33,0,0,5,0.9997,1.0,0.9997,0.9998,0.9981,0.9978,0.9979,0.9994,0.9991,0.9992,0.3194,0.0016,0.0025,0.9985,0.9984,86838.33,86700.67,259.0,0.0677,0.0654
sVa_Bigz_L09,TVE,17328,5,17328,2854.0833,953,16374,0,0,5,0.9997,1.0,0.9997,0.9998,0.055,0.055,0.055,0.8353,0.835,0.8351,4.7632,0.3606,0.486,0.7584,0.6394,73467.0,114897.33,55519.67,0.0573,0.0867
sVa_Bigz_L09,FGE,14443,2888,5910,72.6667,5529,380,8533,1568,1320,0.8334,0.7903,0.8174,0.8036,0.7395,0.7648,0.7519,0.7806,0.8074,0.7938,4.9623,0.0797,0.129,0.7996,0.9203,72045.0,66724.67,26743.0,0.0562,0.0503
sVa_Bigz_L09,EQE,17328,5,17328,0.0,16428,900,0,0,5,0.9997,1.0,0.9997,0.9998,0.9481,0.9478,0.9479,1.0,0.9997,0.9998,0.2571,0.0104,0.0192,0.9921,0.9896,69312.0,68599.67,1087.67,0.0541,0.0517
sVa_Bigz_L09,BME,6260,11071,2416,270.0833,2007,409,3844,76,10995,0.3612,0.9695,0.1802,0.3039,0.8054,0.1497,0.2525,0.8611,0.16,0.2699,4.4457,0.0555,0.4536,0.828,0.9445,69388.67,73469.0,25273.67,0.0541,0.0554
