Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L05,*TL,81754,4910,81754,2101.7221999999997,63181,18570,0,0,4910,0.9433,1.0,0.9433,0.9708,0.7728,0.7291,0.7503,0.9743,0.9191,0.9459,52.5365,0.0372,0.3826,0.9128,0.9628,964643.67,1001938.33,174691.33,1.0,1.0
sVa_BigO_L05,HPE,16351,982,16351,2070.0833,7972,8378,0,0,982,0.9433,1.0,0.9433,0.9708,0.4876,0.46,0.4734,0.8734,0.8239,0.8479,9.8801,0.0257,0.3016,0.9615,0.9743,479650.33,492307.0,37883.33,0.4972,0.4914
sVa_BigO_L05,FRE,16350,982,16350,6.8333,16330,20,0,0,982,0.9433,1.0,0.9433,0.9708,0.9988,0.9422,0.9697,0.9996,0.9429,0.9704,3.2075,0.0516,0.0392,0.9529,0.9484,213718.67,225340.33,21213.67,0.2216,0.2249
sVa_BigO_L05,CDE,16351,982,16351,12.25,16303,48,0,0,982,0.9433,1.0,0.9433,0.9708,0.9971,0.9406,0.968,0.9993,0.9426,0.9701,34.3858,0.3873,0.0079,0.8022,0.6127,91178.0,148822.0,58879.33,0.0945,0.1485
sVa_BigO_L05,UTE,16351,982,16351,0.0,6263,10087,0,0,982,0.9433,1.0,0.9433,0.9708,0.3831,0.3614,0.3719,1.0,0.9433,0.9708,3.828,1.0117,2.9098,0.4716,-0.0117,98106.0,48768.33,51538.33,0.1017,0.0487
sVa_BigO_L05,GRE,16351,982,16351,12.5556,16313,37,0,0,982,0.9433,1.0,0.9433,0.9708,0.9977,0.9412,0.9686,0.9992,0.9426,0.9701,1.2351,0.0543,0.0028,0.9701,0.9457,81990.67,86700.67,5176.67,0.085,0.0865
