Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L09,*TL,140658,15329,127453,4615.333299999999,95829,31620,13205,816,14513,0.9017,0.9936,0.8978,0.9433,0.7471,0.675,0.7092,0.9577,0.8653,0.9092,68.3041,0.0609,0.253,0.8996,0.9391,1244914.34,1325629.0,266180.67,1.0,1.0
sVa_BigO_L09,HPE,17141,191,17141,463.5,15200,1940,0,0,191,0.989,1.0,0.989,0.9945,0.8868,0.877,0.8819,0.973,0.9622,0.9676,11.0492,0.0058,0.1438,0.9745,0.9942,495151.67,492307.0,25106.67,0.3977,0.3714
sVa_BigO_L09,FRE,17141,191,17141,136.25,16599,541,0,0,191,0.989,1.0,0.989,0.9945,0.9684,0.9578,0.9631,0.9921,0.9811,0.9866,2.017,0.0071,0.0556,0.9672,0.9929,226950.0,225340.33,14804.33,0.1823,0.17
sVa_BigO_L09,CDE,17141,191,17141,16.5,17076,64,0,0,191,0.989,1.0,0.989,0.9945,0.9963,0.9853,0.9908,0.999,0.988,0.9935,36.8858,0.4195,0.0126,0.785,0.5805,86393.0,148822.0,63999.67,0.0694,0.1123
sVa_BigO_L09,UTE,17141,191,17141,0.0,6252,10889,0,0,191,0.989,1.0,0.989,0.9945,0.3647,0.3607,0.3627,1.0,0.989,0.9945,3.9733,1.1089,3.141,0.438,-0.1089,102848.0,48768.33,54813.0,0.0826,0.0368
sVa_BigO_L09,GRE,17141,191,17141,6.3333,17122,19,0,0,191,0.989,1.0,0.989,0.9945,0.9989,0.9879,0.9934,0.9996,0.9886,0.9941,0.5751,0.0103,0.0013,0.9937,0.9897,85804.67,86700.67,1092.0,0.0689,0.0654
sVa_BigO_L09,TVE,17141,191,17141,3810.5833,287,16854,0,0,191,0.989,1.0,0.989,0.9945,0.0167,0.0166,0.0166,0.7777,0.7691,0.7734,4.9532,0.4964,0.5336,0.736,0.5036,57864.67,114897.33,60660.0,0.0465,0.0867
sVa_BigO_L09,FGE,14621,2710,5300,41.4167,5063,237,9321,780,1930,0.8436,0.8717,0.7331,0.7964,0.8327,0.7003,0.7608,0.8649,0.7273,0.7902,4.7427,0.104,0.0819,0.8254,0.896,59784.33,66724.67,23305.0,0.048,0.0503
sVa_BigO_L09,EQE,17141,191,17141,0.0,16251,890,0,0,191,0.989,1.0,0.989,0.9945,0.9481,0.9376,0.9428,1.0,0.989,0.9945,0.4845,0.0005,0.019,0.9868,0.9995,68565.33,68599.67,1814.33,0.0551,0.0517
sVa_BigO_L09,BME,6050,11282,2166,140.75,1979,186,3884,36,11246,0.3491,0.9837,0.1615,0.2774,0.8991,0.1476,0.2536,0.9197,0.151,0.2594,3.6233,0.1622,0.1755,0.8599,0.8378,61552.67,73469.0,20585.67,0.0494,0.0554
