Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L09,*TL,140803,15185,127606,4623.8056,95936,31669,13197,825,14360,0.9027,0.9936,0.8988,0.9438,0.747,0.6758,0.7096,0.9576,0.8663,0.9097,67.1493,0.057,0.2534,0.9011,0.943,1250100.66,1325629.0,262106.34,1.0,1.0
sVa_BigO_L09,HPE,17161,171,17161,464.8333,15216,1945,0,0,171,0.9901,1.0,0.9901,0.995,0.8867,0.8779,0.8823,0.9729,0.9633,0.9681,11.0722,0.0066,0.149,0.9745,0.9934,495577.33,492307.0,25105.0,0.3964,0.3714
sVa_BigO_L09,FRE,17161,171,17161,136.9167,16617,544,0,0,171,0.9901,1.0,0.9901,0.995,0.9683,0.9587,0.9635,0.992,0.9822,0.9871,1.9743,0.0084,0.0557,0.9677,0.9916,227236.0,225340.33,14573.67,0.1818,0.17
sVa_BigO_L09,CDE,17161,171,17161,18.4167,17089,72,0,0,171,0.9901,1.0,0.9901,0.995,0.9958,0.986,0.9909,0.9989,0.9891,0.994,35.7744,0.3947,0.013,0.7973,0.6053,90078.0,148822.0,60345.33,0.0721,0.1123
sVa_BigO_L09,UTE,17161,171,17161,0.0,6261,10900,0,0,171,0.9901,1.0,0.9901,0.995,0.3648,0.3612,0.363,1.0,0.9901,0.995,3.973,1.1114,3.1444,0.4381,-0.1114,102970.0,48768.33,54807.67,0.0824,0.0368
sVa_BigO_L09,GRE,17161,171,17161,6.5556,17142,19,0,0,171,0.9901,1.0,0.9901,0.995,0.9989,0.989,0.9939,0.9996,0.9898,0.9947,0.5507,0.0091,0.0014,0.9943,0.9909,85911.0,86700.67,995.0,0.0687,0.0654
sVa_BigO_L09,TVE,17161,171,17161,3814.3333,287,16874,0,0,171,0.9901,1.0,0.9901,0.995,0.0167,0.0166,0.0166,0.7777,0.7701,0.7739,4.9434,0.4952,0.5344,0.7363,0.5048,57997.33,114897.33,60591.33,0.0464,0.0867
sVa_BigO_L09,FGE,14625,2708,5309,40.4167,5074,234,9316,786,1922,0.8438,0.871,0.7342,0.7968,0.8326,0.7018,0.7616,0.8644,0.7286,0.7907,4.7413,0.1019,0.0802,0.8259,0.8981,59927.0,66724.67,23229.67,0.0479,0.0503
sVa_BigO_L09,EQE,17161,171,17161,0.0,16269,892,0,0,171,0.9901,1.0,0.9901,0.995,0.948,0.9387,0.9433,1.0,0.9901,0.995,0.4652,0.0007,0.0191,0.9873,0.9993,68646.67,68599.67,1737.0,0.0549,0.0517
sVa_BigO_L09,BME,6051,11280,2170,142.3333,1981,189,3881,39,11241,0.3491,0.9823,0.1618,0.2778,0.8968,0.1477,0.2536,0.9179,0.1512,0.2596,3.6548,0.1594,0.1799,0.859,0.8406,61757.33,73469.0,20721.67,0.0494,0.0554
