Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L08,*TL,133771,4885,124810,5325.2778,91056,33753,8961,1141,3744,0.9648,0.9909,0.9709,0.9808,0.723,0.7083,0.7156,0.9487,0.9295,0.939,68.0057,0.0625,0.2894,0.8907,0.9375,1173931.33,1252160.0,273833.34,1.0,1.0
sVa_BigO_L08,HPE,17125,207,17125,819.6667,13764,3361,0,0,207,0.9881,1.0,0.9881,0.994,0.8037,0.7941,0.7989,0.9521,0.9408,0.9464,11.4294,0.0015,0.1935,0.9704,0.9985,491582.33,492307.0,29188.67,0.4187,0.3932
sVa_BigO_L08,FRE,17123,209,17123,315.3333,15865,1258,0,0,209,0.9879,1.0,0.9879,0.9939,0.9265,0.9154,0.9209,0.9816,0.9697,0.9756,2.35,0.0256,0.0738,0.9577,0.9744,231105.33,225340.33,19053.67,0.1969,0.18
sVa_BigO_L08,CDE,17125,207,17125,19.1667,17050,75,0,0,207,0.9881,1.0,0.9881,0.994,0.9956,0.9837,0.9896,0.9989,0.987,0.9929,38.136,0.4415,0.0228,0.7696,0.5585,83113.33,148822.0,68576.67,0.0708,0.1189
sVa_BigO_L08,UTE,17125,207,17125,0.0,6259,10866,0,0,207,0.9881,1.0,0.9881,0.994,0.3655,0.3611,0.3633,1.0,0.9881,0.994,3.9675,1.107,3.1345,0.4394,-0.107,102754.0,48768.33,54680.33,0.0875,0.0389
sVa_BigO_L08,GRE,17125,207,17125,7.7778,17102,23,0,0,207,0.9881,1.0,0.9881,0.994,0.9987,0.9867,0.9927,0.9995,0.9876,0.9935,0.6046,0.0109,0.0017,0.9931,0.9891,85756.67,86700.67,1200.67,0.0731,0.0692
sVa_BigO_L08,TVE,17125,207,17125,4111.5833,123,17002,0,0,207,0.9881,1.0,0.9881,0.994,0.0072,0.0071,0.0071,0.7599,0.7508,0.7553,5.964,0.5696,0.5491,0.7067,0.4304,49454.33,114897.33,67402.33,0.0421,0.0918
sVa_BigO_L08,FGE,13898,3434,4937,51.75,4657,279,8961,1141,2293,0.8019,0.8123,0.6828,0.7419,0.7663,0.6442,0.7,0.8038,0.6757,0.7342,5.0556,0.0759,0.0994,0.7613,0.9241,61662.67,66724.67,31856.0,0.0525,0.0533
sVa_BigO_L08,EQE,17125,207,17125,0.0,16236,889,0,0,207,0.9881,1.0,0.9881,0.994,0.9481,0.9368,0.9424,1.0,0.9881,0.994,0.4986,0.0014,0.019,0.9863,0.9986,68502.67,68599.67,1875.0,0.0584,0.0548
