Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L07,*TL,117961,3363,110067,4741.1944,76561,33506,7894,2208,1155,0.9723,0.9803,0.9896,0.9849,0.6819,0.6884,0.6851,0.9381,0.947,0.9425,69.0638,0.0368,0.5052,0.8837,0.9632,1140026.33,1183560.33,275411.34,1.0,1.0
sVa_Bigz_L07,HPE,17327,5,17327,571.5833,14962,2365,0,0,5,0.9997,1.0,0.9997,0.9998,0.8635,0.8633,0.8634,0.967,0.9667,0.9668,10.4562,0.0091,0.1791,0.9755,0.9909,496796.67,492307.0,24074.33,0.4358,0.416
sVa_Bigz_L07,FRE,17327,5,17327,595.9167,14944,2383,0,0,5,0.9997,1.0,0.9997,0.9998,0.8625,0.8622,0.8623,0.9656,0.9653,0.9654,2.559,0.067,0.1067,0.9484,0.933,240440.33,225340.33,23232.67,0.2109,0.1904
sVa_Bigz_L07,CDE,17327,5,17327,137.8333,16970,357,0,0,5,0.9997,1.0,0.9997,0.9998,0.9794,0.9791,0.9792,0.992,0.9918,0.9919,41.4243,0.5134,0.0604,0.7229,0.4866,72415.0,148822.0,82471.0,0.0635,0.1257
sVa_Bigz_L07,UTE,17327,5,17327,0.0,6285,11042,0,0,5,0.9997,1.0,0.9997,0.9998,0.3627,0.3626,0.3626,1.0,0.9997,0.9998,3.9912,1.1318,3.1852,0.4338,-0.1318,103966.0,48768.33,55225.0,0.0912,0.0412
sVa_Bigz_L07,GRE,17327,5,17327,5.7778,17310,17,0,0,5,0.9997,1.0,0.9997,0.9998,0.999,0.9987,0.9988,0.9997,0.9994,0.9995,0.2393,0.0003,0.0012,0.9991,0.9997,86724.67,86700.67,148.67,0.0761,0.0733
sVa_Bigz_L07,TVE,17327,5,17327,3350.5833,389,16938,0,0,5,0.9997,1.0,0.9997,0.9998,0.0225,0.0224,0.0224,0.8066,0.8064,0.8065,5.2715,0.4431,0.5174,0.7369,0.5569,63987.33,114897.33,60452.0,0.0561,0.0971
sVa_Bigz_L07,FGE,13999,3333,6105,79.5,5701,404,7894,2208,1125,0.8077,0.7344,0.8444,0.7856,0.6858,0.7885,0.7336,0.7248,0.8334,0.7753,5.1223,0.1345,0.146,0.7766,0.8655,75696.33,66724.67,29807.67,0.0664,0.0564
