Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L03,*TL,38192,13804,38192,1997.9167,30393,7798,0,0,13804,0.7345,1.0,0.7345,0.8469,0.7958,0.5845,0.674,0.9477,0.6961,0.8026,60.1934,0.1322,0.5025,0.859,0.8678,751885.0,866469.33,244266.34,1.0,1.0
sVa_BigO_L03,HPE,12822,4510,12822,968.9167,8870,3952,0,0,4510,0.7398,1.0,0.7398,0.8504,0.6918,0.5118,0.5883,0.9244,0.6839,0.7862,23.7932,0.0577,0.4959,0.9059,0.9423,463912.33,492307.0,92658.0,0.617,0.5682
sVa_BigO_L03,FRE,12548,4784,12548,1023.3333,8722,3825,0,0,4784,0.724,1.0,0.724,0.8399,0.6951,0.5033,0.5839,0.9184,0.6649,0.7714,8.1935,0.1439,0.1556,0.7871,0.8561,192905.67,225340.33,95956.67,0.2566,0.2601
sVa_BigO_L03,CDE,12822,4510,12822,5.6667,12801,21,0,0,4510,0.7398,1.0,0.7398,0.8504,0.9984,0.7386,0.8491,0.9996,0.7395,0.8501,28.2067,0.3612,0.008,0.813,0.6388,95067.0,148822.0,55651.67,0.1264,0.1718
