Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L10,*TL,159113,14208,146029,5134.138999999999,98208,47816,13084,939,13269,0.918,0.9936,0.9167,0.9536,0.6682,0.6165,0.6413,0.9587,0.8845,0.9201,84.689,0.0228,0.3982,0.8743,0.9772,1338796.66,1370096.67,344315.34,1.0,1.0
sVa_Bigz_L10,HPE,17316,16,17316,514.75,15187,2128,0,0,16,0.9991,1.0,0.9991,0.9995,0.8771,0.8763,0.8767,0.9703,0.9694,0.9698,21.5099,0.0902,0.768,0.9355,0.9098,536717.0,492307.0,63496.0,0.4009,0.3593
sVa_Bigz_L10,FRE,17316,16,17316,126.4167,16817,498,0,0,16,0.9991,1.0,0.9991,0.9995,0.9712,0.9703,0.9707,0.9927,0.9918,0.9922,1.5374,0.0165,0.0551,0.9725,0.9835,229049.33,225340.33,12402.33,0.1711,0.1645
sVa_Bigz_L10,CDE,17316,16,17316,117.6667,17033,282,0,0,16,0.9991,1.0,0.9991,0.9995,0.9837,0.9828,0.9832,0.9932,0.9923,0.9927,41.3129,0.5325,0.0204,0.7321,0.4675,69572.0,148822.0,79730.0,0.052,0.1086
sVa_Bigz_L10,UTE,17316,16,17316,0.0,6284,11031,0,0,16,0.9991,1.0,0.9991,0.9995,0.3629,0.3626,0.3627,1.0,0.9991,0.9995,3.9897,1.1304,3.1822,0.4342,-0.1304,103898.0,48768.33,55189.67,0.0776,0.0356
sVa_Bigz_L10,GRE,17316,16,17316,4.5556,17302,13,0,0,16,0.9991,1.0,0.9991,0.9995,0.9992,0.9983,0.9987,0.9997,0.9988,0.9992,0.2515,0.0007,0.0009,0.999,0.9993,86642.33,86700.67,179.67,0.0647,0.0633
sVa_Bigz_L10,TVE,17316,16,17316,3736.0833,445,16871,0,0,16,0.9991,1.0,0.9991,0.9995,0.0257,0.0257,0.0257,0.7842,0.7835,0.7838,4.8943,0.4727,0.5336,0.7405,0.5273,60584.67,114897.33,59628.67,0.0453,0.0839
sVa_Bigz_L10,FGE,14508,2825,5309,49.75,5031,278,9199,903,1922,0.837,0.8546,0.7342,0.7898,0.8099,0.6958,0.7485,0.8466,0.7273,0.7824,4.9047,0.048,0.0996,0.8031,0.952,63524.33,66724.67,26277.0,0.0474,0.0487
sVa_Bigz_L10,EQE,17316,16,17316,0.0,16417,899,0,0,16,0.9991,1.0,0.9991,0.9995,0.9481,0.9472,0.9476,1.0,0.9991,0.9995,0.2764,0.0097,0.0192,0.9917,0.9903,69265.33,68599.67,1132.33,0.0517,0.0501
sVa_Bigz_L10,BME,6077,11255,2192,157.1667,2013,179,3885,36,11219,0.3506,0.9838,0.1634,0.2803,0.9035,0.1501,0.2574,0.9133,0.1517,0.2602,3.2911,0.1463,0.1632,0.8684,0.8537,62720.0,73469.0,19339.0,0.0468,0.0536
sVa_Bigz_L10,OFE,17316,16,17316,427.75,1679,15637,0,0,16,0.9991,1.0,0.9991,0.9995,0.097,0.0969,0.0969,0.9753,0.9744,0.9748,2.7211,0.2779,0.75,0.6971,0.7221,56823.67,44467.67,26940.67,0.0424,0.0325
