Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L10,*TL,158315,15006,145119,5608.0834,96061,49056,13196,827,14179,0.9134,0.9943,0.911,0.9508,0.6582,0.603,0.6294,0.9559,0.8758,0.9141,86.9317,0.0299,0.3828,0.8692,0.9701,1329084.34,1370096.67,358349.66,1.0,1.0
sVa_Bigz_L10,HPE,17262,70,17262,608.1667,14762,2499,0,0,70,0.996,1.0,0.996,0.998,0.8552,0.8518,0.8535,0.9648,0.9609,0.9628,19.8449,0.0662,0.6469,0.9425,0.9338,524912.0,492307.0,56606.33,0.3949,0.3593
sVa_Bigz_L10,FRE,17248,85,17248,332.6667,16137,1111,0,0,85,0.9951,1.0,0.9951,0.9975,0.9356,0.931,0.9333,0.9807,0.9759,0.9783,3.7532,0.0504,0.0921,0.9521,0.9496,236705.0,225340.33,21602.0,0.1781,0.1645
sVa_Bigz_L10,CDE,17262,70,17262,93.0833,17036,226,0,0,70,0.996,1.0,0.996,0.998,0.9869,0.9829,0.9849,0.9946,0.9906,0.9926,41.1729,0.5126,0.0188,0.7339,0.4874,72529.0,148822.0,79188.33,0.0546,0.1086
sVa_Bigz_L10,UTE,17262,70,17262,0.0,6263,10999,0,0,70,0.996,1.0,0.996,0.998,0.3628,0.3614,0.3621,1.0,0.996,0.998,3.9897,1.1238,3.1728,0.4342,-0.1238,103574.0,48768.33,55190.33,0.0779,0.0356
sVa_Bigz_L10,GRE,17262,70,17262,4.6667,17248,14,0,0,70,0.996,1.0,0.996,0.998,0.9992,0.9952,0.9972,0.9997,0.9957,0.9977,0.3769,0.0038,0.0009,0.9974,0.9962,86374.67,86700.67,452.0,0.065,0.0633
sVa_Bigz_L10,TVE,17262,70,17262,3883.1667,172,17090,0,0,70,0.996,1.0,0.996,0.998,0.01,0.0099,0.0099,0.775,0.7719,0.7734,4.9609,0.494,0.5453,0.7344,0.506,58137.67,114897.33,61039.67,0.0437,0.0839
sVa_Bigz_L10,FGE,14078,3254,4754,46.9167,4500,254,9324,778,2476,0.8123,0.8594,0.6575,0.745,0.8134,0.6224,0.7052,0.8509,0.651,0.7376,5.1291,0.1548,0.0885,0.7746,0.8452,56397.67,66724.67,30078.33,0.0424,0.0487
sVa_Bigz_L10,EQE,17262,70,17262,0.0,16364,897,0,0,70,0.996,1.0,0.996,0.998,0.948,0.9442,0.9461,1.0,0.996,0.998,0.3549,0.0066,0.0192,0.9902,0.9934,69049.33,68599.67,1345.67,0.052,0.0501
sVa_Bigz_L10,BME,6155,11177,2283,180.8333,1953,330,3872,49,11128,0.3551,0.979,0.1702,0.29,0.8375,0.1456,0.2481,0.9014,0.1567,0.267,4.5172,0.1089,0.3988,0.8293,0.8911,65466.0,73469.0,25087.0,0.0493,0.0536
sVa_Bigz_L10,OFE,17262,70,17262,458.5833,1626,15636,0,0,70,0.996,1.0,0.996,0.998,0.0942,0.0938,0.094,0.9734,0.9695,0.9714,2.832,0.258,0.7548,0.6879,0.742,55939.0,44467.67,27760.0,0.0421,0.0325
