Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L08,*TL,95698,42958,88789,4282.1667,63286,25501,6909,3193,39765,0.6902,0.9653,0.6907,0.8052,0.688,0.4923,0.5739,0.9187,0.6574,0.7664,79.6179,0.1478,1.0656,0.799,0.8522,1067109.01,1252160.0,503481.01,1.0,1.0
sVa_BigO_L08,HPE,12270,5062,12270,613.0,9775,2494,0,0,5062,0.7079,1.0,0.7079,0.829,0.7967,0.564,0.6605,0.95,0.6726,0.7876,14.431,0.0487,0.2124,0.9467,0.9513,468352.0,492307.0,52479.0,0.4389,0.3932
sVa_BigO_L08,FRE,12046,5286,12046,257.0833,11079,967,0,0,5286,0.695,1.0,0.695,0.8201,0.9197,0.6392,0.7542,0.9787,0.6802,0.8026,7.4934,0.2702,0.0604,0.8195,0.7298,164449.0,225340.33,81358.67,0.1541,0.18
sVa_BigO_L08,CDE,12270,5062,12270,48.6667,12076,194,0,0,5062,0.7079,1.0,0.7079,0.829,0.9842,0.6967,0.8159,0.996,0.7051,0.8257,30.2464,0.3727,0.0874,0.7718,0.6273,93360.67,148822.0,67930.0,0.0875,0.1189
sVa_BigO_L08,UTE,12270,5062,12270,0.0,4561,7709,0,0,5062,0.7079,1.0,0.7079,0.829,0.3717,0.2632,0.3082,1.0,0.7079,0.829,3.8596,0.5096,2.2238,0.4644,0.4904,73622.0,48768.33,52241.67,0.069,0.0389
sVa_BigO_L08,GRE,12270,5062,12270,83.3333,12020,250,0,0,5062,0.7079,1.0,0.7079,0.829,0.9796,0.6935,0.8121,0.9932,0.7031,0.8233,2.8313,0.2725,0.02,0.8439,0.7275,63073.67,86700.67,27071.0,0.0591,0.0692
sVa_BigO_L08,TVE,12270,5062,12270,2943.1667,308,11961,0,0,5062,0.7079,1.0,0.7079,0.829,0.0251,0.0178,0.0208,0.7601,0.5381,0.6301,7.7852,0.424,0.6242,0.5743,0.576,66182.67,114897.33,97812.67,0.062,0.0918
sVa_BigO_L08,FGE,10032,7300,3123,336.9167,1829,1294,6909,3193,4107,0.5788,0.4945,0.432,0.4611,0.2896,0.253,0.2701,0.4411,0.3854,0.4114,10.8194,0.3337,0.4147,0.2221,0.6663,88987.67,66724.67,103805.0,0.0834,0.0533
sVa_BigO_L08,EQE,12270,5062,12270,0.0,11638,632,0,0,5062,0.7079,1.0,0.7079,0.829,0.9485,0.6715,0.7863,1.0,0.7079,0.829,2.1516,0.2845,0.0136,0.8485,0.7155,49081.33,68599.67,20783.0,0.046,0.0548
