Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L05,*TL,85885,775,85885,1939.6112,67344,18541,0,0,775,0.9911,1.0,0.9911,0.9955,0.7841,0.7771,0.7806,0.9774,0.9687,0.973,68.4559,0.0064,0.493,0.8908,0.9936,1008356.33,1001938.33,218883.33,1.0,1.0
sVa_Bigz_L05,HPE,17177,155,17177,1802.9167,9877,7300,0,0,155,0.9911,1.0,0.9911,0.9955,0.575,0.5699,0.5724,0.895,0.887,0.891,21.049,0.068,0.8832,0.9271,0.932,525780.0,492307.0,71801.67,0.5214,0.4914
sVa_Bigz_L05,FRE,17177,155,17177,15.75,17117,60,0,0,155,0.9911,1.0,0.9911,0.9955,0.9965,0.9876,0.992,0.9991,0.9901,0.9946,1.5208,0.0033,0.0422,0.9751,0.9967,224600.33,225340.33,11223.33,0.2227,0.2249
sVa_Bigz_L05,CDE,17177,155,17177,117.1667,16899,278,0,0,155,0.9911,1.0,0.9911,0.9955,0.9838,0.975,0.9794,0.9932,0.9843,0.9887,41.4143,0.5365,0.0208,0.73,0.4635,68972.67,148822.0,80373.33,0.0684,0.1485
sVa_Bigz_L05,UTE,17177,155,17177,0.0,6285,10892,0,0,155,0.9911,1.0,0.9911,0.9955,0.3659,0.3626,0.3642,1.0,0.9911,0.9955,3.9652,1.1134,3.142,0.4399,-0.1134,103066.0,48768.33,54628.33,0.1022,0.0487
sVa_Bigz_L05,GRE,17177,155,17177,3.7778,17166,11,0,0,155,0.9911,1.0,0.9911,0.9955,0.9994,0.9904,0.9949,0.9998,0.9908,0.9953,0.5066,0.0088,0.0007,0.9951,0.9912,85937.33,86700.67,856.67,0.0852,0.0865
