Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L03,*TL,51336,663,51336,386.5,49674,1660,0,0,663,0.9872,1.0,0.9872,0.9936,0.9677,0.9553,0.9615,0.9925,0.9798,0.9861,50.7202,0.0697,0.108,0.9397,0.9303,806091.66,866469.33,104574.33,1.0,1.0
sVa_BigO_L03,HPE,17112,221,17112,370.9167,15507,1604,0,0,221,0.9872,1.0,0.9872,0.9936,0.9063,0.8947,0.9005,0.9783,0.9659,0.9721,10.4349,0.0204,0.1483,0.9763,0.9796,502335.0,492307.0,23337.33,0.6232,0.5682
sVa_BigO_L03,FRE,17112,221,17112,6.0,17092,19,0,0,221,0.9872,1.0,0.9872,0.9936,0.9989,0.9862,0.9925,0.9996,0.9869,0.9932,1.7615,0.0079,0.042,0.9731,0.9921,223556.33,225340.33,12109.33,0.2773,0.2601
sVa_BigO_L03,CDE,17112,221,17112,9.5833,17075,37,0,0,221,0.9872,1.0,0.9872,0.9936,0.9978,0.9851,0.9914,0.9994,0.9867,0.993,38.5238,0.4611,0.0036,0.7678,0.5389,80200.33,148822.0,69127.67,0.0995,0.1718
