Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L04,*TL,69012,316,69012,592.6667,55793,13219,0,0,316,0.9954,1.0,0.9954,0.9977,0.8085,0.8048,0.8066,0.9914,0.9869,0.9891,64.7353,0.0128,0.5806,0.8955,0.9872,926991.99,915237.66,191260.33,1.0,1.0
sVa_Bigz_L04,HPE,17253,79,17253,431.0833,15412,1841,0,0,79,0.9954,1.0,0.9954,0.9977,0.8933,0.8892,0.8912,0.975,0.9706,0.9728,17.1599,0.0609,0.4481,0.9553,0.9391,522277.33,492307.0,44009.0,0.5634,0.5379
sVa_Bigz_L04,FRE,17253,79,17253,83.1667,17066,187,0,0,79,0.9954,1.0,0.9954,0.9977,0.9892,0.9847,0.9869,0.9952,0.9906,0.9929,2.9896,0.0188,0.061,0.9675,0.9812,229583.33,225340.33,14641.67,0.2477,0.2462
sVa_Bigz_L04,CDE,17253,79,17253,78.4167,17051,202,0,0,79,0.9954,1.0,0.9954,0.9977,0.9883,0.9838,0.986,0.9955,0.9909,0.9932,40.5982,0.5188,0.0128,0.7397,0.4812,71609.33,148822.0,77467.33,0.0772,0.1626
sVa_Bigz_L04,UTE,17253,79,17253,0.0,6264,10989,0,0,79,0.9954,1.0,0.9954,0.9977,0.3631,0.3614,0.3622,1.0,0.9954,0.9977,3.9876,1.1227,3.17,0.4347,-0.1227,103522.0,48768.33,55142.33,0.1117,0.0533
