Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L10,*TL,158628,14692,145418,5355.0835,96928,48487,13210,811,13881,0.9152,0.9945,0.9129,0.952,0.6629,0.6085,0.6345,0.9578,0.8792,0.9168,45.3027,0.0081,0.2836,0.9111,0.9919,1358940.66,1370096.67,243579.34,1.0,1.0
sVa_BigO_L10,HPE,17307,25,17307,553.6667,15001,2306,0,0,25,0.9986,1.0,0.9986,0.9993,0.8668,0.8655,0.8661,0.968,0.9666,0.9673,9.8838,0.0021,0.1217,0.9771,0.9979,493356.0,492307.0,22561.67,0.363,0.3593
sVa_BigO_L10,FRE,17293,40,17293,226.25,16391,901,0,0,40,0.9977,1.0,0.9977,0.9988,0.9479,0.9457,0.9468,0.9869,0.9846,0.9857,1.805,0.0254,0.065,0.9669,0.9746,231058.33,225340.33,14916.67,0.17,0.1645
sVa_BigO_L10,CDE,17307,25,17307,15.75,17244,63,0,0,25,0.9986,1.0,0.9986,0.9993,0.9964,0.9949,0.9956,0.9991,0.9976,0.9983,12.5512,0.0554,0.0083,0.9653,0.9446,140572.33,148822.0,10323.0,0.1034,0.1086
sVa_BigO_L10,UTE,17307,25,17307,0.0,6284,11023,0,0,25,0.9986,1.0,0.9986,0.9993,0.3631,0.3626,0.3628,1.0,0.9986,0.9993,3.9884,1.1293,3.1798,0.4345,-0.1293,103844.0,48768.33,55160.33,0.0764,0.0356
sVa_BigO_L10,GRE,17307,25,17307,4.6667,17293,14,0,0,25,0.9986,1.0,0.9986,0.9993,0.9992,0.9977,0.9984,0.9997,0.9983,0.999,0.2778,0.0012,0.0009,0.9987,0.9988,86599.67,86700.67,227.0,0.0637,0.0633
sVa_BigO_L10,TVE,17307,25,17307,3893.1667,173,17134,0,0,25,0.9986,1.0,0.9986,0.9993,0.01,0.01,0.01,0.7751,0.7739,0.7745,4.9175,0.4893,0.5488,0.7351,0.5107,58676.67,114897.33,60881.33,0.0432,0.0839
sVa_BigO_L10,FGE,14098,3233,4767,47.25,4513,254,9331,770,2463,0.8135,0.8609,0.6593,0.7467,0.8151,0.6242,0.707,0.8524,0.6528,0.7394,5.1165,0.1543,0.0886,0.7762,0.8457,56430.33,66724.67,29867.67,0.0415,0.0487
sVa_BigO_L10,EQE,17307,25,17307,0.0,16408,898,0,0,25,0.9986,1.0,0.9986,0.9993,0.9481,0.9467,0.9474,1.0,0.9986,0.9993,0.2908,0.0092,0.0192,0.9915,0.9908,69229.33,68599.67,1167.67,0.0509,0.0501
sVa_BigO_L10,BME,6088,11244,2209,148.9167,1991,217,3879,41,11203,0.3513,0.9818,0.1647,0.2821,0.8853,0.1485,0.2543,0.9156,0.1536,0.2631,3.6453,0.1415,0.2168,0.8586,0.8585,63074.67,73469.0,20773.0,0.0464,0.0536
sVa_BigO_L10,OFE,17307,25,17307,465.4167,1630,15677,0,0,25,0.9986,1.0,0.9986,0.9993,0.0942,0.094,0.0941,0.9731,0.9717,0.9724,2.8264,0.2616,0.7571,0.6885,0.7384,56099.33,44467.67,27701.0,0.0413,0.0325
