Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L06,*TL,48791,55201,48791,3333.8333000000002,31089,17702,0,0,55201,0.4692,1.0,0.4692,0.6387,0.6372,0.299,0.407,0.9317,0.4371,0.595,103.7206,0.2611,1.4561,0.703,0.7389,825269.67,1116835.66,663308.66,1.0,1.0
sVa_BigO_L06,HPE,8146,9186,8146,487.25,6227,1919,0,0,9186,0.47,1.0,0.47,0.6395,0.7644,0.3593,0.4888,0.9402,0.4419,0.6012,35.312,0.0386,1.2856,0.8165,0.9614,473292.0,492307.0,180723.0,0.5735,0.4408
sVa_BigO_L06,FRE,8061,9271,8061,435.1667,6716,1345,0,0,9271,0.4651,1.0,0.4651,0.6349,0.8331,0.3875,0.529,0.946,0.44,0.6006,10.5098,0.4574,0.0909,0.689,0.5426,122265.67,225340.33,140181.33,0.1482,0.2018
sVa_BigO_L06,CDE,8146,9186,8146,129.25,7669,477,0,0,9186,0.47,1.0,0.47,0.6395,0.9414,0.4425,0.602,0.9841,0.4625,0.6293,41.4963,0.4398,0.454,0.5657,0.5602,83366.0,148822.0,129270.67,0.101,0.1333
sVa_BigO_L06,UTE,8146,9186,8146,0.0,2965,5181,0,0,9186,0.47,1.0,0.47,0.6395,0.364,0.1711,0.2328,1.0,0.47,0.6395,3.8352,0.0023,1.4945,0.47,0.9977,48880.0,48768.33,51699.0,0.0592,0.0437
sVa_BigO_L06,GRE,8146,9186,8146,272.3333,7329,817,0,0,9186,0.47,1.0,0.47,0.6395,0.8997,0.4229,0.5754,0.9666,0.4543,0.6181,3.9472,0.4643,0.0659,0.702,0.5357,46447.67,86700.67,51672.33,0.0563,0.0776
sVa_BigO_L06,TVE,8146,9186,8146,2009.8333,183,7963,0,0,9186,0.47,1.0,0.47,0.6395,0.0225,0.0106,0.0144,0.7533,0.354,0.4817,8.6201,0.556,0.4826,0.5223,0.444,51018.33,114897.33,109762.33,0.0618,0.1029
