Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L08,*TL,67263,71392,59872,3561.5833000000002,40973,18897,7391,2710,68682,0.4851,0.9567,0.4657,0.6265,0.6547,0.3187,0.4287,0.8998,0.438,0.5892,119.3304,0.2806,1.8089,0.6694,0.7194,900863.65,1252160.0,828022.32,1.0,1.0
sVa_BigO_L08,HPE,8235,9097,8235,502.5833,6287,1948,0,0,9097,0.4751,1.0,0.4751,0.6442,0.7634,0.3627,0.4918,0.939,0.4461,0.6048,37.9285,0.0887,1.2711,0.7957,0.9113,448630.33,492307.0,201203.33,0.498,0.3932
sVa_BigO_L08,FRE,8170,9162,8170,344.25,7212,958,0,0,9162,0.4714,1.0,0.4714,0.6408,0.8827,0.4161,0.5656,0.9579,0.4515,0.6137,10.487,0.4596,0.0827,0.6954,0.5404,121769.33,225340.33,137295.67,0.1352,0.18
sVa_BigO_L08,CDE,8235,9097,8235,136.0833,7698,537,0,0,9097,0.4751,1.0,0.4751,0.6442,0.9348,0.4441,0.6021,0.9835,0.4673,0.6336,39.5115,0.5457,0.3141,0.5809,0.4543,67606.33,148822.0,124732.33,0.075,0.1189
sVa_BigO_L08,UTE,8235,9097,8235,0.0,2986,5248,0,0,9097,0.4751,1.0,0.4751,0.6442,0.3626,0.1723,0.2336,1.0,0.4751,0.6442,3.8418,0.0132,1.514,0.4685,0.9868,49412.0,48768.33,51844.33,0.0548,0.0389
sVa_BigO_L08,GRE,8235,9097,8235,172.3333,7718,517,0,0,9097,0.4751,1.0,0.4751,0.6442,0.9372,0.4453,0.6037,0.9791,0.4652,0.6307,3.821,0.4834,0.0417,0.7167,0.5166,44786.33,86700.67,49124.33,0.0497,0.0692
sVa_BigO_L08,TVE,8235,9097,8235,2085.1667,143,8091,0,0,9097,0.4751,1.0,0.4751,0.6442,0.0174,0.0083,0.0112,0.7468,0.3548,0.4811,8.5927,0.6087,0.4488,0.5318,0.3913,44962.67,114897.33,107593.33,0.0499,0.0918
sVa_BigO_L08,FGE,9683,7648,2292,321.1667,1110,1182,7391,2710,4938,0.5587,0.4582,0.317,0.3747,0.2219,0.1535,0.1815,0.394,0.2726,0.3222,12.2718,0.3601,0.4706,0.1027,0.6399,90755.33,66724.67,119738.67,0.1007,0.0533
sVa_BigO_L08,EQE,8235,9097,8235,0.0,7819,416,0,0,9097,0.4751,1.0,0.4751,0.6442,0.9495,0.4511,0.6116,1.0,0.4751,0.6442,2.8761,0.5198,0.009,0.734,0.4802,32941.33,68599.67,36490.33,0.0366,0.0548
