Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_Bigz_L05,*TL,86630,35,86630,579.6388000000001,73361,13264,0,0,35,0.9996,1.0,0.9996,0.9998,0.8469,0.8465,0.8467,0.9933,0.9929,0.9931,56.2093,0.0148,0.6584,0.917,0.9852,987136.01,1001938.33,166358.99,1.0,1.0
sVa_Bigz_L05,HPE,17326,7,17326,290.5833,16053,1272,0,0,7,0.9996,1.0,0.9996,0.9998,0.9266,0.9262,0.9264,0.9832,0.9828,0.983,8.9988,0.0101,0.0718,0.9815,0.9899,497292.67,492307.0,18264.33,0.5038,0.4914
sVa_Bigz_L05,FRE,17326,7,17326,155.75,16701,624,0,0,7,0.9996,1.0,0.9996,0.9998,0.964,0.9636,0.9638,0.991,0.9906,0.9908,1.5393,0.0194,0.0579,0.9711,0.9806,229710.67,225340.33,13005.0,0.2327,0.2249
sVa_Bigz_L05,CDE,17326,7,17326,120.0833,17040,285,0,0,7,0.9996,1.0,0.9996,0.9998,0.9835,0.9832,0.9833,0.9931,0.9927,0.9929,41.3282,0.5343,0.0174,0.7328,0.4657,69304.0,148822.0,79518.0,0.0702,0.1485
sVa_Bigz_L05,UTE,17326,7,17326,0.0,6281,11044,0,0,7,0.9996,1.0,0.9996,0.9998,0.3625,0.3624,0.3624,1.0,0.9996,0.9998,3.9926,1.1316,3.1858,0.4335,-0.1316,103956.0,48768.33,55258.33,0.1053,0.0487
sVa_Bigz_L05,GRE,17326,7,17326,13.2222,17286,39,0,0,7,0.9996,1.0,0.9996,0.9998,0.9977,0.9973,0.9975,0.9992,0.9988,0.999,0.3504,0.002,0.003,0.9982,0.998,86872.67,86700.67,313.33,0.088,0.0865
