Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L09,*TL,141249,14740,128057,4641.4445000000005,96259,31795,13192,831,13909,0.9055,0.9936,0.902,0.9456,0.7469,0.6781,0.7108,0.9575,0.8693,0.9113,59.4811,0.041,0.2487,0.9096,0.959,1271267.0,1325629.0,239734.01,1.0,1.0
sVa_BigO_L09,HPE,17221,111,17221,464.1667,15278,1943,0,0,111,0.9936,1.0,0.9936,0.9968,0.8872,0.8815,0.8843,0.973,0.9668,0.9699,10.3876,0.0054,0.1298,0.9764,0.9946,494961.0,492307.0,23242.67,0.3893,0.3714
sVa_BigO_L09,FRE,17221,111,17221,136.6667,16677,544,0,0,111,0.9936,1.0,0.9936,0.9968,0.9684,0.9622,0.9653,0.9921,0.9857,0.9889,1.8031,0.0117,0.0557,0.9694,0.9883,227983.0,225340.33,13792.67,0.1793,0.17
sVa_BigO_L09,CDE,17221,111,17221,20.0,17142,79,0,0,111,0.9936,1.0,0.9936,0.9968,0.9954,0.989,0.9922,0.9988,0.9924,0.9956,29.2237,0.2652,0.0134,0.8605,0.7348,109354.0,148822.0,41524.0,0.086,0.1123
sVa_BigO_L09,UTE,17221,111,17221,0.0,6270,10950,0,0,111,0.9936,1.0,0.9936,0.9968,0.3641,0.3618,0.3629,1.0,0.9936,0.9968,3.9792,1.1188,3.1588,0.4366,-0.1188,103328.0,48768.33,54949.67,0.0813,0.0368
sVa_BigO_L09,GRE,17221,111,17221,6.4444,17202,19,0,0,111,0.9936,1.0,0.9936,0.9968,0.9989,0.9925,0.9957,0.9996,0.9932,0.9964,0.4651,0.0057,0.0013,0.996,0.9943,86207.0,86700.67,694.33,0.0678,0.0654
sVa_BigO_L09,TVE,17221,111,17221,3828.4167,290,16931,0,0,111,0.9936,1.0,0.9936,0.9968,0.0168,0.0167,0.0167,0.7777,0.7727,0.7752,4.923,0.4925,0.5371,0.7369,0.5075,58306.67,114897.33,60449.33,0.0459,0.0867
sVa_BigO_L09,FGE,14629,2703,5320,41.4167,5081,239,9309,793,1910,0.844,0.8703,0.7358,0.7974,0.8312,0.7028,0.7616,0.8635,0.7301,0.7912,4.7104,0.1009,0.0817,0.8267,0.8991,59994.0,66724.67,23124.67,0.0472,0.0503
sVa_BigO_L09,EQE,17221,111,17221,0.0,16326,894,0,0,111,0.9936,1.0,0.9936,0.9968,0.9481,0.942,0.945,1.0,0.9936,0.9968,0.403,0.0042,0.0191,0.989,0.9958,68885.33,68599.67,1503.67,0.0542,0.0517
sVa_BigO_L09,BME,6073,11260,2190,144.3333,1993,196,3883,38,11222,0.3504,0.9829,0.1633,0.2801,0.8949,0.1486,0.2549,0.9182,0.1525,0.2616,3.586,0.1527,0.1882,0.8608,0.8473,62248.0,73469.0,20453.0,0.049,0.0554
