Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L05,*TL,39255,47405,39255,1539.1945,29016,10239,0,0,47405,0.453,1.0,0.453,0.6235,0.7392,0.3348,0.4609,0.9608,0.4352,0.5991,87.0555,0.2685,1.0296,0.7452,0.7315,732960.0,1001938.33,510503.67,1.0,1.0
sVa_BigO_L05,HPE,7888,9444,7888,509.4167,5856,2032,0,0,9444,0.4551,1.0,0.4551,0.6255,0.7424,0.3379,0.4644,0.9354,0.4257,0.5851,30.8435,0.078,0.8801,0.8492,0.922,453894.33,492307.0,148514.67,0.6193,0.4914
sVa_BigO_L05,FRE,7703,9629,7703,545.4167,5942,1761,0,0,9629,0.4444,1.0,0.4444,0.6153,0.7714,0.3428,0.4747,0.9292,0.413,0.5718,10.8121,0.4642,0.1069,0.6715,0.5358,120738.67,225340.33,148045.67,0.1647,0.2249
sVa_BigO_L05,CDE,7888,9444,7888,49.5833,7703,185,0,0,9444,0.4551,1.0,0.4551,0.6255,0.9765,0.4444,0.6108,0.9937,0.4523,0.6216,37.4341,0.5805,0.1444,0.642,0.4195,62430.67,148822.0,106571.33,0.0852,0.1485
sVa_BigO_L05,UTE,7888,9444,7888,0.0,2931,4957,0,0,9444,0.4551,1.0,0.4551,0.6255,0.3716,0.1691,0.2324,1.0,0.4551,0.6255,3.8039,0.0295,1.4299,0.477,0.9705,47332.0,48768.33,51007.67,0.0646,0.0487
sVa_BigO_L05,GRE,7888,9444,7888,434.7778,6584,1304,0,0,9444,0.4551,1.0,0.4551,0.6255,0.8347,0.3799,0.5222,0.9449,0.43,0.591,4.1619,0.4399,0.1052,0.6749,0.5601,48564.33,86700.67,56364.33,0.0663,0.0865
